Province/State,Country/Region,Lat,Long,1/22/20,2/21/20,3/22/20,4/21/20,5/21/20,6/20/20,7/20/20,8/19/20
Tibet,China,31.6927,88.0924,0,1,1,1,1,1,1,1
Xinjiang,China,41.1129,85.2401,0,76,76,76,76,76,131,902
Yunnan,China,24.974,101.48700000000001,1,174,176,184,185,185,188,195
Zhejiang,China,29.1832,120.0934,10,1203,1238,1268,1268,1269,1270,1277
,Colombia,4.5709,-74.2973,0,0,231,4149,18330,65633,204005,502178
,Comoros,-11.6455,43.3333,0,0,0,0,34,247,334,406
,Congo (Brazzaville),-0.228,15.8277,0,0,3,165,469,883,2851,3850
,Congo (Kinshasa),-4.0383,21.7587,0,0,30,350,1835,5672,8443,9741
,Costa Rica,9.7489,-83.7534,0,0,134,669,903,2127,11534,30409
,Cote d'Ivoire,7.54,-5.5471,0,0,14,916,2301,7276,14312,17232
,Croatia,45.1,15.2,0,0,254,1908,2237,2299,4370,7074
,Cuba,21.521757,-77.78116700000002,0,0,35,1137,1908,2309,2446,3482
,Cyprus,35.1264,33.4299,0,0,95,784,923,985,1038,1385
,Czechia,49.8175,15.472999999999999,0,0,1120,7033,8754,10448,14098,20798
Faroe Islands,Denmark,61.8926,-6.9118,0,0,115,185,187,187,191,382
Greenland,Denmark,71.7069,-42.6043,0,0,4,11,11,13,13,14
,Denmark,56.2639,9.5018,0,0,1395,7695,11182,12391,13262,15940
,Diamond Princess,0.0,0.0,0,634,712,712,712,712,712,712
,Djibouti,11.8251,42.5903,0,0,1,945,2047,4565,5020,5374
,Dominica,15.415,-61.371,0,0,1,16,16,18,18,18
,Dominican Republic,18.7357,-70.1627,0,0,202,5044,13657,25778,53956,88127
,Ecuador,-1.8312,-78.1834,0,0,789,10398,35306,49731,74620,104475
,Egypt,26.820553000000004,30.802497999999996,0,1,327,3490,15003,53758,88402,96914
,El Salvador,13.7942,-88.8965,0,0,3,225,1640,4475,12207,23717
,Equatorial Guinea,1.6508,10.2679,0,0,6,83,903,1664,3071,4892
,Eritrea,15.1794,39.7823,0,0,1,39,39,143,251,304
,Estonia,58.5953,25.0136,0,0,326,1552,1800,1981,2021,2207
,Eswatini,-26.5225,31.4659,0,0,4,31,220,627,1826,4058
,Ethiopia,9.145,40.4897,0,0,11,114,399,4469,10207,34058
,Fiji,-17.7134,178.065,0,0,2,18,18,18,27,28
,Finland,61.92411,25.748151,0,1,626,4014,6493,7142,7340,7805
French Guiana,France,3.9339,-53.1258,0,0,18,97,249,2163,6745,8711
French Polynesia,France,-17.6797,149.4068,0,0,18,56,60,60,62,211
Guadeloupe,France,16.265,-61.551,0,0,58,148,155,174,195,510
Martinique,France,14.6415,-61.0242,0,0,44,163,192,236,262,336
Mayotte,France,-12.8275,45.166244,0,0,11,311,1475,2404,2808,3160
New Caledonia,France,-20.904304999999997,165.618042,0,0,4,18,18,21,22,23
Reunion,France,-21.1151,55.5364,0,0,64,410,449,505,631,903
Saint Barthelemy,France,17.9,-62.8333,0,0,3,6,6,6,6,16
Saint Pierre and Miquelon,France,46.8852,-56.3159,0,0,0,1,1,1,4,5
St Martin,France,18.0708,-63.0501,0,0,5,37,40,42,46,121
,France,46.2276,2.2137,0,12,16018,156921,179306,191740,203242,242538
,Gabon,-0.8037,11.6094,0,0,5,156,1567,4428,6433,8319
,Gambia,13.4432,-15.3101,0,0,1,10,24,37,112,2288
,Georgia,42.3154,43.3569,0,0,54,408,721,898,1039,1361
,Germany,51.165690999999995,10.451526,0,16,24873,148291,179021,190670,203325,229706
,Ghana,7.9465,-1.0232,0,0,23,1042,6269,13717,28430,43094
,Greece,39.0742,21.8243,0,0,624,2401,2853,3256,4012,7684
,Grenada,12.1165,-61.678999999999995,0,0,1,14,22,23,23,24
,Guatemala,15.7835,-90.2308,0,0,19,294,2512,12755,39039,64881
,Guinea,9.9456,-9.6966,0,0,2,688,3067,4960,6590,8792
,Guinea-Bissau,11.8037,-15.1804,0,0,0,50,1109,1541,1949,2117
,Guyana,4.860416000000002,-58.93018000000001,0,0,19,66,127,183,337,776
,Haiti,18.9712,-72.2852,0,0,2,57,734,5077,7053,7949
,Holy See,41.9029,12.4534,0,0,1,9,12,12,12,12
,Honduras,15.2,-86.2419,0,0,26,494,3204,12306,34611,52298
,Hungary,47.1625,19.5033,0,0,131,2098,3641,4086,4339,5002
,Iceland,64.9631,-19.0208,0,0,568,1778,1803,1815,1839,2035
,India,20.593684,78.96288,0,3,396,20080,118226,410451,1155338,2836925
,Indonesia,-0.7893,113.9213,0,0,514,7135,20162,45029,88214,144945
,Iran,32.427908,53.68804599999999,0,18,21638,84802,129341,202584,276202,350279
,Iraq,33.223191,43.679291,0,0,233,1602,3877,29222,94693,188802
,Ireland,53.1424,-7.6921,0,0,906,16040,24391,25374,25766,27547
